Bank,Quarter,Net Income,ROE,EfficiencyRatio,PCL
TD,2025 Q4,,10.7,,
TD,2025 Q3,,11.3,,
TD,2025 Q2,,39.1,,
TD,2025 Q1,,10.1,,
TD,2024 Q4,,13.4,,
TD,2024 Q3,,-1,,
TD,2024 Q2,,9.5,,
TD,2024 Q1,,10.9,,
TD,2023 Q4,,,,
TD,2023 Q3,,,,
TD,2023 Q2,,,,
TD,2023 Q1,,,,
